spread,target_median,number_KNN,ABS Metrics ,fsignal
,,,,
1000,1000,1,0,0
,,,,
1393,1393,1,0,0
,,,,
1610,1824,2,0.12,0
,,,,
1018,1018,1,0,0
,,,,
2517,1345,4,0.87,0
,,,,
1063,1064,12,0,0
,,,,
1550,1506,13,0.03,0
,,,,
3265,2378,14,0.37,1
,,,,
937,874,2,0.07,0
,,,,
1682,1674,5,0,0
,,,,
2752,2752,1,0,0
,,,,
5779,5779,1,0,0
,,,,
2311,2311,1,0,0
,,,,
42,42,1,0,0
,,,,
47,47,1,0,0
,,,,
47,47,1,0,0
,,,,
238,238,1,0,0
,,,,
3239,3239,1,0,0
,,,,
310,568,2,0.45,0
,,,,
1860,1860,1,0,0
,,,,
422,422,1,0,0
,,,,
452,452,1,0,0
,,,,
4764,4764,1,0,0
,,,,
155,155,1,0,0
,,,,
6142,6142,1,0,0
,,,,
1989,1989,1,0,0
,,,,
178,178,1,0,0
,,,,
439,439,1,0,0
,,,,
99665,99665,1,0,0
,,,,
1605,1605,1,0,0
,,,,
10124,10124,1,0,0
,,,,
11562,11562,1,0,0
,,,,
-10306,-10306,1,0,0
,,,,
950,950,1,0,0
,,,,
1674,1674,5,0,0
,,,,
1132,965,3,0.17,0
,,,,
1673,1460,2,0.15,0
,,,,
965,965,3,0,0
,,,,
1248,1460,2,0.15,0
,,,,
232,232,1,0,0
,,,,
255,255,1,0,0
,,,,
371,371,1,0,0
,,,,
463,463,1,0,0
,,,,
485,485,1,0,0
,,,,
541,541,1,0,0
,,,,
631,631,1,0,0
,,,,
133,140,2,0.05,0
,,,,
151,138,2,0.09,0
,,,,
155,146,2,0.06,0
,,,,
158,158,2,0,0
,,,,
384,384,1,0,0
,,,,
1164,1164,1,0,0
,,,,
2810,2810,1,0,0
,,,,
93,93,1,0,0
,,,,
124,138,2,0.1,1
,,,,
138,146,2,0.05,0
,,,,
159,158,2,0.01,0
,,,,
164,164,1,0,0
,,,,
256,256,1,0,0
,,,,
273,273,1,0,0
,,,,
385,385,1,0,0
,,,,
147,140,2,0.05,0
,,,,
177,180,2,0.02,0
,,,,
402,402,1,0,0
,,,,
534,534,1,0,0
,,,,
742,742,1,0,0
,,,,
890,890,1,0,0
,,,,
1082,1082,1,0,0
,,,,
4070,4070,1,0,0
,,,,
146,146,1,0,0
,,,,
364,364,1,0,0
,,,,
1815,1815,1,0,0
,,,,
125,125,1,0,0
,,,,
548,548,1,0,0
,,,,
732,732,1,0,0
,,,,
4443,4443,1,0,0
,,,,
235,235,1,0,0
,,,,
2402,2402,1,0,0
,,,,
197,146,2,0.35,1
,,,,
209,136,3,0.54,1
,,,,
355,355,1,0,0
,,,,
1581,1581,1,0,0
,,,,
25235,25235,1,0,0
,,,,
371,371,1,0,0
,,,,
883,883,1,0,0
,,,,
1597,1597,1,0,0
,,,,
6043,6043,1,0,0
,,,,
437,437,1,0,0
,,,,
1616,1366,2,0.18,0
,,,,
12131,12131,1,0,0
,,,,
3426,3426,1,0,0
,,,,
5769,5769,1,0,0
,,,,
797,797,1,0,0
,,,,
3720,3720,1,0,0
,,,,
846,996,21,0.15,0
,,,,
1196,1419,27,0.16,0
,,,,
843,996,21,0.15,0
,,,,
1143,1419,27,0.19,1
,,,,
755,755,1,0,0
,,,,
1594,1674,5,0.05,0
,,,,
818,824,14,0.01,0
,,,,
1419,1533,15,0.07,0
,,,,
694,703,4,0.01,0
,,,,
781,784,4,0,0
,,,,
958,958,1,0,0
,,,,
1309,1284,6,0.02,1
,,,,
2263,1818,6,0.24,1
,,,,
913,974,8,0.06,0
,,,,
1253,1419,27,0.12,0
,,,,
887,996,21,0.11,0
,,,,
1637,1419,27,0.15,0
,,,,
932,926,4,0.01,0
,,,,
1619,1419,27,0.14,0
,,,,
935,920,2,0.02,0
,,,,
1445,1533,15,0.06,0
,,,,
983,993,13,0.01,0
,,,,
1173,1628,19,0.28,0
,,,,
1030,993,13,0.04,0
,,,,
970,1051,2,0.08,0
,,,,
1249,1628,19,0.23,0
,,,,
896,1058,5,0.15,0
,,,,
2670,2670,5,0,0
,,,,
1054,1106,10,0.05,1
,,,,
2141,2141,23,0,0
,,,,
1069,992,3,0.08,0
,,,,
2747,2141,23,0.28,0
,,,,
1432,1256,4,0.14,1
,,,,
557,557,1,0,0
,,,,
1641,1462,4,0.12,0
,,,,
3175,3111,3,0.02,0
,,,,
1278,1278,1,0,0
,,,,
1598,1396,2,0.14,0
,,,,
3314,2378,14,0.39,0
,,,,
1141,946,4,0.21,0
,,,,
1585,1506,13,0.05,0
,,,,
2211,2378,14,0.07,0
,,,,
933,996,2,0.06,1
,,,,
1133,1690,4,0.33,1
,,,,
2312,2312,3,0,0
,,,,
1064,1064,12,0,0
,,,,
1509,1506,13,0,0
,,,,
2063,2378,14,0.13,0
,,,,
1007,1007,1,0,0
,,,,
1107,1284,6,0.14,0
,,,,
1858,1818,6,0.02,0
,,,,
1226,1226,1,0,0
,,,,
1661,1284,6,0.29,0
,,,,
1778,1818,6,0.02,0
,,,,
177,177,1,0,0
,,,,
183,180,2,0.02,0
,,,,
375,375,1,0,0
,,,,
1567,1567,1,0,0
,,,,
91414,91414,1,0,0
,,,,
1025,1025,1,0,0
,,,,
875,875,1,0,0
,,,,
1879,1690,4,0.11,0
,,,,
962,974,4,0.01,0
,,,,
1362,1362,5,0,0
,,,,
1763,1796,13,0.02,0
,,,,
1062,1102,2,0.04,0
,,,,
1264,1205,2,0.05,0
,,,,
1419,1408,2,0.01,0
,,,,
1624,1561,2,0.04,0
,,,,
3184,3163,3,0.01,0
,,,,
3579,3555,3,0.01,0
,,,,
1062,996,21,0.07,0
,,,,
1419,1419,27,0,0
,,,,
3184,1796,13,0.77,0
,,,,
992,996,21,0,0
,,,,
1588,1419,27,0.12,0
,,,,
903,974,8,0.07,0
,,,,
1244,1419,27,0.12,0
,,,,
1147,974,4,0.18,0
,,,,
1417,1362,5,0.04,0
,,,,
1757,1796,13,0.02,0
,,,,
1094,996,21,0.1,0
,,,,
1501,1419,27,0.06,1
,,,,
828,974,4,0.15,0
,,,,
1264,1362,5,0.07,0
,,,,
2974,1796,13,0.66,0
,,,,
1071,824,14,0.3,0
,,,,
1533,1533,15,0,0
,,,,
2728,2730,4,0,0
,,,,
905,920,2,0.02,0
,,,,
1618,1533,15,0.06,0
,,,,
1060,1056,2,0,0
,,,,
1521,1533,15,0.01,0
,,,,
1052,1052,1,0,0
,,,,
1442,1281,2,0.13,0
,,,,
1217,1217,1,0,0
,,,,
310,310,1,0,0
,,,,
13326,13326,1,0,0
,,,,
395,395,1,0,0
,,,,
603,603,1,0,0
,,,,
411,411,1,0,0
,,,,
975,975,1,0,0
,,,,
775,775,1,0,0
,,,,
189,180,2,0.05,0
,,,,
226,226,1,0,0
,,,,
6722,6722,1,0,0
,,,,
743,728,6,0.02,0
,,,,
1483,1512,4,0.02,0
,,,,
4405,3338,4,0.32,1
,,,,
994,728,6,0.37,1
,,,,
2241,1512,4,0.48,1
,,,,
791,728,6,0.09,1
,,,,
1542,1512,4,0.02,0
,,,,
713,728,6,0.02,0
,,,,
1079,1079,1,0,0
,,,,
1729,1594,2,0.08,0
,,,,
1133,1088,4,0.04,0
,,,,
1977,1628,19,0.21,0
,,,,
970,993,13,0.02,0
,,,,
2546,1628,19,0.56,0
,,,,
1700,1700,1,0,0
,,,,
3458,1628,19,1.12,0
,,,,
1396,1008,6,0.38,0
,,,,
1948,1628,19,0.2,0
,,,,
989,989,3,0,0
,,,,
3363,2846,2,0.18,0
,,,,
1132,1051,2,0.08,0
,,,,
1532,1532,1,0,0
,,,,
848,993,13,0.15,1
,,,,
1922,1008,6,0.91,0
,,,,
4345,1628,19,1.67,0
,,,,
1140,1088,4,0.05,0
,,,,
2510,1628,19,0.54,0
,,,,
1210,904,4,0.34,0
,,,,
1544,1628,19,0.05,0
,,,,
1203,1203,1,0,0
,,,,
3502,2670,5,0.31,0
,,,,
1350,1058,5,0.28,0
,,,,
965,992,3,0.03,0
,,,,
1495,2141,23,0.3,0
,,,,
708,1256,4,0.44,1
,,,,
1870,1648,4,0.13,0
,,,,
3105,2980,7,0.04,0
,,,,
981,1112,6,0.12,0
,,,,
2867,2141,23,0.34,0
,,,,
944,932,3,0.01,0
,,,,
1425,1648,4,0.14,0
,,,,
